iata,lat,lon
YWM,52.56689835,-55.78469849
YFX,52.37279892,-55.6739006
YHA,52.52809906,-56.28609848
YRG,54.17969894,-58.45750046
DVK,64.51139832,-110.2890015
YCK,67.03330231,-126.0830002
YLE,63.13169861,-117.2460022
NML,57.05559921,-111.5739975
ZSP,53.99330139,-111.3799973
DAS,66.70310211,-119.7070007
YFI,57.27583333,-110.9766667
SUR,52.70859909,-88.54190063
YAX,53.8492012,-89.57939911
WNN,52.89390183,-89.28919983
YNO,52.49000168,-92.97109985
XBE,53.96559906,-91.02719879
KIF,53.01250076,-89.8553009
YOG,51.65859985,-85.90170288
 QC,46.72147597,-71.58549786
YEB,46.42029953,-84.09220123
YHP,52.11330032,-94.25559998
YNX,63.59360123,-110.9059982
YKU,53.80559921,-78.91690063
ZTB,50.67440033,-59.38359833
YAU,61.66220093,-73.3214035
ZLT,50.8307991,-58.9756012
YAC,51.72719955,-91.82440186
YAR,53.57170105,-76.1964035
YAG,48.65420151,-93.43969727
YAH,53.75469971,-73.6753006
YAL,50.5821991,-126.9160004
YAM,46.48500061,-84.50939941
XKS,53.52470016,-88.64279938
YKG,60.02719879,-69.99919891
YAT,52.92750168,-82.43190002
YAW,44.637222,-63.502222
YAY,51.39189911,-56.08309937
YAZ,49.07982555,-125.7756042
YBB,68.53440094,-89.80809784
YBC,49.13249969,-68.20439911
QBC,52.38750076,-126.5960007
YBE,59.56140137,-108.4810028
YBY,54.30419922,-110.7440033
YBG,48.33060074,-70.99639893
YBK,64.29889679,-96.07779694
YBL,49.95080185,-125.2710037
XTL,58.70610046,-98.5121994
YBR,49.90999985,-99.95189667
YBT,57.88940048,-101.6790009
YBV,52.35889816,-97.01830292
YBX,51.4435997,-57.18529892
YRF,53.68280029,-57.04190063
YCB,69.10810089,-105.1380005
YCC,45.09280014,-74.56330109
YCD,49.0522995,-123.8700027
YCE,43.28559875,-81.50830078
YCG,49.29639816,-117.6320038
YCH,47.00780106,-65.44920349
XCM,42.3064003,-82.08190155
YCL,47.99079895,-66.33029938
YCN,49.10559845,-81.01360321
YCO,67.8167038,-115.1439972
YCQ,55.68719864,-121.6269989
YCR,54.61059952,-97.76080322
YCS,63.34690094,-90.73110199
YCY,70.48609924,-68.51670074
YCZ,50.33029938,-115.8730011
YDA,64.04309845,-139.128006
YDB,61.37110138,-139.0410004
YDF,49.21080017,-57.39139938
YDM,61.97060013,-132.4230042
YDN,51.10079956,-100.052002
YDO,48.7784996,-72.375
YDP,56.54919815,-61.68030167
YDQ,55.74229813,-120.1829987
YEG,53.30970001,-113.5800018
YEK,61.09420013,-94.07080078
YEL,46.35139847,-82.56140137
YEM,45.84280014,-81.85810089
YEN,49.21030045,-102.9660034
YER,56.01890183,-87.67610168
YET,53.57889938,-116.4649963
YEU,79.99469757,-85.81420136
YEV,68.30419922,-133.4830017
YEY,48.56389999,-78.24970245
YFA,52.20140076,-81.69689941
YFB,63.75640106,-68.55580139
YFC,45.8689003,-66.53720093
YFE,48.74610138,-69.09719849
YFH,51.56190109,-87.90779877
YTM,46.40940094,-74.77999878
YFO,54.67810059,-101.6819992
YFR,61.18080139,-113.6900024
YFS,61.7602005,-121.2369995
YMN,55.07690048,-59.18640137
YGB,49.69419861,-124.5179977
YGD,43.76689911,-81.71060181
YGH,66.24079895,-128.651001
YGK,44.22529984,-76.59690094
YGL,53.62530136,-77.70420074
YGM,50.62810135,-97.04329681
YGO,54.55889893,-94.49140167
YGP,48.77529907,-64.47859955
YGQ,49.77830124,-86.93939972
YGR,47.42470169,-61.77809906
YGT,69.36470032,-81.81610107
YGV,50.2818985,-63.6114006
YGW,55.2818985,-77.76529694
YGX,56.35749817,-94.71060181
YGZ,76.42610168,-82.90920258
YQC,61.04639816,-69.61779785
YHD,49.83169937,-92.74420166
YHE,49.36830139,-121.4980011
YHF,49.71419907,-83.68609619
YNS,51.69110107,-76.13559723
YHI,70.76280212,-117.8059998
YHK,68.63559723,-95.84970093
YHM,43.17359924,-79.93499756
YHN,49.19309998,-84.7589035
YHO,55.44829941,-60.22859955
YHR,50.46889877,-59.63669968
YHT,60.78919983,-137.5460052
YHU,45.51750183,-73.41690063
YHY,60.83969879,-115.7829971
YHZ,44.88079834,-63.50859833
YIB,48.77389908,-91.63860321
YDG,44.54584504,-65.78542471
YIF,51.21170044,-58.65829849
YIK,62.41730118,-77.9253006
YIO,72.6832962,-77.96669769
YIV,53.85720062,-94.6536026
YJF,60.2358017,-123.4690018
YJN,45.29439926,-73.28109741
YJT,48.5442009,-58.54999924
YKA,50.70220184,-120.4440002
LAK,68.22329712,-135.0059967
YKF,43.46080017,-80.37860107
YKJ,57.2560997,-105.6179962
YKL,54.80530167,-66.80529785
AKV,60.8185997,-78.14859772
YKQ,51.47330093,-78.75830078
YKX,48.21030045,-79.98139954
YKY,51.51750183,-109.1809998
YKZ,43.86220169,-79.37000275
YPJ,59.29669952,-69.59970093
YLC,62.84999847,-69.88330078
YLD,47.81999969,-83.34670258
YLH,52.1955986,-87.93419647
YLJ,54.12530136,-108.5230026
YSG,62.41830063,-110.6819992
YLL,53.30920029,-110.072998
YLR,56.51330185,-99.98529816
YLK,44.48529816,-79.55560303
YLT,82.51779938,-62.2806015
XGR,58.71139908,-65.99279785
YLW,49.95610046,-119.3779984
YMA,63.61640167,-135.8679962
YME,48.85689926,-67.45330048
YMG,49.08390045,-85.86060333
YMH,52.30279922,-55.84719849
YMJ,50.33029938,-105.5589981
YML,47.59749985,-70.22389984
YMM,56.65330124,-111.2220001
YMO,51.29109955,-80.60780334
YMT,49.77190018,-74.52809906
YUD,56.53609848,-76.51830292
YMX,45.67950058,-74.03869629
YNA,50.18999863,-61.78919983
YNC,53.01060104,-78.83110046
YND,45.52170181,-75.56359863
YNE,53.95830154,-97.84420013
YNL,58.27669907,-104.0820007
YNM,49.76169968,-77.80280304
YNN,59.48749924,-97.78029633
HZP,57.38169861,-111.7009964
YOA,64.69889832,-110.6149979
YOC,67.57060242,-139.8390045
YOD,54.40499878,-110.2789993
YOH,54.93330002,-95.27890015
YOJ,58.62139893,-117.1650009
YOO,43.92279816,-78.89499664
YOP,58.49140167,-119.4079971
YOS,44.59030151,-80.83750153
YOW,45.32249832,-75.66919708
YPA,53.21419907,-105.6729965
YPC,69.36083812,-124.07547
YPS,45.65670013,-61.36809921
YPE,56.22689819,-117.4469986
YPG,49.90309906,-98.27390289
YPH,58.47190094,-78.07689667
YPL,51.44639969,-90.21420288
YPM,51.81969833,-93.97329712
YPN,49.83639908,-64.28859711
YPO,54.98809814,-85.44329834
YPQ,44.22999954,-78.36329651
YPR,54.28609848,-130.4450073
YPW,49.83420181,-124.5
YPX,60.05059814,-77.28690338
YPY,58.76720047,-111.1169968
YQA,44.97470093,-79.30329895
YQB,46.79109955,-71.39330292
YQD,53.97140121,-101.0910034
YQF,52.18220139,-113.8939972
YQG,42.27560043,-82.95559692
YQH,60.11640167,-128.8220062
YQI,43.82690048,-66.08809662
YQK,49.78829956,-94.36309814
YQL,49.63029861,-112.8000031
YQM,46.11220169,-64.6785965
YQN,50.18280029,-86.6964035
YQQ,49.71080017,-124.887001
YQR,50.43190002,-104.6660004
YQS,42.77000046,-81.1108017
YQT,48.37189865,-89.32389832
YQU,55.17969894,-118.8850021
YQV,51.26470184,-102.461998
YQW,52.76919937,-108.2440033
YQX,48.93690109,-54.56809998
YQY,46.16139984,-60.04779816
YQZ,53.02610016,-122.5100021
YRA,64.1160965,-117.3099976
YRB,74.71690369,-94.9693985
YRI,47.76440048,-69.58470154
YRJ,48.52000046,-72.26560211
YRL,51.06689835,-93.79309845
YRO,45.46030045,-75.64610291
YRP,45.31919861,-76.02220154
YRQ,46.35279846,-72.67939758
YRS,54.16719818,-93.55719757
YRT,62.81140137,-92.11579895
YRV,50.96670151,-118.1829987
YSB,46.625,-80.79889679
YSC,45.43859863,-71.69139862
YSF,59.25030136,-105.8410034
YSH,44.94580078,-75.94059753
YSJ,45.31610107,-65.89029694
YSK,56.53779984,-79.24669647
YSL,47.15750122,-67.83470154
YSM,60.02030182,-111.961998
YCM,43.19169998,-79.17169952
YSP,48.75529861,-86.3443985
YST,53.84560013,-94.85189819
YSU,46.44060135,-63.83359909
YSY,71.99389648,-125.2429962
YTA,45.86439896,-77.25170136
YTE,64.23000336,-76.52670288
YTF,48.50889969,-71.64189911
YTH,55.80110168,-97.86419678
YTL,53.81779861,-89.89689636
YTQ,58.6678009,-69.95580292
YTR,44.1189003,-77.52809906
YTS,48.56969833,-81.37670136
YTZ,43.62749863,-79.39620209
YUB,69.4332962,-133.026001
YUL,45.47060013,-73.74079895
YUT,66.52140045,-86.22470093
YUX,68.77610016,-81.24359894
YUY,48.20610046,-78.83560181
YVB,48.07109833,-65.46029663
YVC,55.15140152,-105.262001
YVE,50.24810028,-119.3310013
YVM,67.54579926,-64.03140259
YVO,48.05329895,-77.78279877
YVP,58.09609985,-68.42690277
YVQ,65.28160095,-126.7979965
YVR,49.19390106,-123.1839981
YVT,55.84189987,-108.4179993
YVV,44.74580002,-81.10720062
YVZ,52.65579987,-94.06140137
YWA,45.95220184,-77.31919861
YWG,49.90999985,-97.23989868
YWJ,65.21109772,-123.435997
YWK,52.9219017,-66.86440277
YWL,52.18310165,-122.0540009
YWP,52.9593934,-87.37486839
YWY,63.20940018,-123.4369965
YXC,49.6108017,-115.7819977
YXD,53.57249832,-113.5210037
YXE,52.17079926,-106.6999969
YXH,50.01890183,-110.7210007
YXJ,56.23809814,-120.7399979
YXK,48.47809982,-68.49690247
YXL,50.11389923,-91.90529633
YXN,62.24000168,-92.59809875
YXP,66.14499664,-65.71360016
YXQ,62.41030121,-140.8670044
YXR,47.69740065,-79.84734535
YXS,53.88940048,-122.6790009
YXT,54.46849823,-128.576004
YXU,43.03559875,-81.15390015
YXX,49.02529907,-122.3610001
YXY,60.70959854,-135.0670013
YXZ,47.96670151,-84.78669739
YYB,46.36360168,-79.42279816
YYC,51.11389923,-114.0199966
YYD,54.8246994,-127.1829987
YYE,58.83639908,-122.5970001
YYF,49.46310043,-119.6019974
YYG,46.29000092,-63.12110138
YYH,69.54669952,-93.5766983
YYJ,48.64690018,-123.4260025
YYL,56.86389923,-101.0759964
YYN,50.29190063,-107.6910019
YYQ,58.73920059,-94.06500244
YYR,53.31919861,-60.42580032
YYT,47.61859894,-52.75189972
YYU,49.41389847,-82.46749878
YYW,50.29029846,-88.90969849
YYY,48.60860062,-68.20809937
YYZ,43.67720032,-79.63059998
YZD,43.74250031,-79.46559906
YZE,45.88529968,-82.56780243
YZF,62.46279907,-114.4400024
YZG,62.1794014,-75.66719818
YZH,55.29309845,-114.7770004
YZP,53.25429916,-131.8139954
YZR,42.99940109,-82.30889893
YZS,64.19329834,-83.35939789
YZT,50.68059921,-127.3669968
YZU,54.14390183,-115.7870026
YZV,50.22330093,-66.26560211
YZW,60.17279816,-132.7429962
YZX,44.9844017,-64.91690063
YZY,55.3044014,-123.1320038
ZAC,56.08940125,-96.08920288
YSN,50.68280029,-119.2289963
YDT,43.44145315,-79.85010266
ZBD,49.07419968,-123.012001
ILF,56.06140137,-95.61389923
ZBF,47.62969971,-65.73889923
ZBM,45.29079819,-72.74140167
ZEE,56.03749847,-96.50969696
ZEM,52.22639847,-78.52249908
ZFA,62.20750046,-133.3760071
ZFD,59.33440018,-107.1819992
ZFG,55.74919891,-101.2659988
ZFM,67.40750122,-134.8609924
ZFN,64.90969849,-125.572998
ZGF,49.0155983,-118.4309998
ZGI,54.83969879,-94.07859802
ZGR,52.04560089,-95.46579742
ZJG,54.51890183,-98.0460968
ZJN,52.12060165,-101.2360001
ZKE,52.28250122,-81.67780304
YTD,55.31890106,-97.70780182
MSA,53.44139862,-91.76280212
ZMH,51.73609924,-121.3330002
PIW,55.58890152,-97.16419983
ZMT,54.02750015,-132.125
ZNG,53,-97.26670074
ZPB,53.89110184,-92.1964035
ZPO,55.52809906,-106.5820007
ZRJ,52.9435997,-91.31279755
ZSJ,53.06420136,-93.3443985
ZSN,56.7928009,-98.90720367
ZST,55.93541045,-129.9824345
ZTM,55.86560059,-92.08139801
ZUC,49.42969894,-91.71779633
ZUM,53.56190109,-64.10639954
ZWH,58.61750031,-101.4690018
ZWL,58.10689926,-103.1719971
QLD,36.50360107,2.814169884
BUJ,35.33250046,4.206389904
BJA,36.7120018,5.069920063
ALG,36.69100189,3.215409994
DJG,24.2928009,9.452440262
QFD,36.54579926,2.876110077
VVZ,26.7234993,8.622650147
QSF,36.17810059,5.32449007
TMR,22.81150055,5.451079845
GJL,36.79510117,5.87361002
MZW,33.53590012,-0.242353007
QZN,35.75220108,0.626272023
AAE,36.82220078,7.809169769
CZL,36.27600098,6.620389938
TEE,35.43159866,8.12071991
BLJ,35.7521019,6.308589935
HRM,32.93040085,3.311539888
QDJ,34.6657,3.351
TID,35.34109879,1.463150024
TIN,27.7003994,-8.167099953
QAS,36.21269989,1.331769943
TAF,35.54240036,-0.532278001
TLM,35.01670074,-1.450000048
ORN,35.62390137,-0.621182978
CBH,31.64570045,-2.269860029
BFW,35.17179871,-0.593275011
MUW,35.20769882,0.147141993
EBH,33.72166667,1.0925
INF,19.56699944,5.75
BMW,21.375,0.923888981
AZR,27.83760071,-0.186414003
BSK,34.79330063,5.738230228
ELG,30.57130051,2.859590054
GHA,32.38410187,3.79411006
HME,31.67300034,6.140439987
INZ,27.25099945,2.512020111
TGR,33.06779861,6.088669777
LOO,33.76440048,2.928339958
ELU,33.51139832,6.776790142
TMX,29.2371006,0.276033014
OGX,31.91720009,5.412779808
IAM,28.05150032,9.642910004
COO,6.357230187,2.384350061
DJA,9.692083333,1.637777778
KDC,11.13300037,2.933000088
NAE,10.31700039,1.383000016
PKO,9.357689858,2.609679937
SVF,8.018170357,2.464580059
XKY,13.06700039,-1.100000024
OUG,13.56700039,-2.417000055
XDJ,14.10000038,-1.633000016
XLU,11.10000038,-2.099999905
PUP,11.14999962,-1.149999976
XBO,12.64999962,-0.566999972
XBG,12.9829998,-0.166999996
DIP,12.05000019,1.782999992
DOR,14.03299999,-0.033
FNG,12.03299999,0.349999994
XGG,14.44999981,-0.232999995
XKA,12.46700001,1.5
TMQ,14.80000019,0.050000001
XPA,11.25,0.699999988
ARL,11.59700012,1.48300004
XSE,13.44999981,0.51700002
TEG,11.80000019,-0.367000014
XZA,11.16699982,-0.616999984
OUA,12.35319996,-1.512420058
BNR,10.68299961,-4.717000008
DGU,12.45899963,-3.49000001
XGA,10.29920006,-3.250829935
XNU,12.75,-3.867000103
BOY,11.16009998,-4.330969811
TUQ,13.06700039,-3.066999912
XDE,10.94999981,-3.25
XAR,14.21700001,-0.883000016
ACC,5.6051898,-0.166786
TML,9.557189941,-0.863214016
KMS,6.714560032,-1.590819955
NYI,7.361830235,-2.328759909
TKD,4.89605999,-1.774760008
ABJ,5.261390209,-3.926290035
OGO,6.715559959,-3.470279932
BXI,9.532999992,-6.467000008
BYK,7.738800049,-5.07366991
BQO,9.277500153,-3.025279999
BDK,8.017219544,-2.761940002
DIM,6.651669979,-4.64056015
DJO,6.792809963,-6.473189831
FEK,9.600000382,-5.199999809
GGN,6.132999897,-5.949999809
GGO,6.524990082,-7.478610039
BBV,4.643413067,-6.923961639
HGO,9.387180328,-5.556660175
MJC,7.272069931,-7.587359905
KEO,9.5,-7.566999912
OFI,9.600000382,-4.050000191
SEO,7.968329907,-6.710830212
SPY,4.746719837,-6.660820007
ZSS,4.928329945,-6.132780075
TXU,4.437809467,-7.362728119
ASK,6.903170109,-5.365580082
ABV,9.006790161,7.263169766
AKR,7.246739864,5.301010132
ABB,6.203333333,6.658888889
BNI,6.316979885,5.599500179
CBQ,4.976019859,8.347200394
ENU,6.474269867,7.56196022
GMO,10.29833333,10.89638889
QUS,12.17169952,6.696109772
IBA,7.362460136,3.978329897
ILR,8.440210342,4.493919849
QOW,5.427060127,7.206029892
JOS,9.639829636,8.869050026
KAD,10.6960001,7.320109844
KAN,12.04759979,8.524620056
MIU,11.85529995,13.08090019
MDI,7.703879833,8.613940239
LOS,6.577370167,3.321160078
MXJ,9.652170181,6.462259769
PHC,5.015490055,6.949590206
SKO,12.91629982,5.207190037
NBE,36.075833,10.438611
YOL,9.25755024,12.43039989
ZAR,11.13020039,7.685810089
MFQ,13.50249958,7.126749992
NIM,13.48149967,2.183609963
THZ,14.8757,5.265359879
AJY,16.9659996,8.000109673
ZND,13.77900028,8.98375988
TBJ,36.97999954,8.876939774
MIR,35.7580986,10.75469971
TUN,36.85100174,10.22719955
OIZ,37.24539948,9.791449547
GAF,34.42200089,8.822500229
GAE,33.87689972,10.10330009
DJE,33.875,10.7755003
EBM,31.70429993,9.254619598
SFA,34.7179985,10.69099998
TOE,33.93970108,8.110560417
LRL,9.76733017,1.091249943
LFW,6.165609837,1.254510045
ANR,51.18939972,4.460279942
BRU,50.90140152,4.48443985
CRL,50.45920181,4.453820229
KJK,50.81719971,3.20472002
LGG,50.63740158,5.443220139
QNM,50.48799896,4.768919945
OST,51.19889832,2.862220049
QHA,50.97000122,5.375070095
OBL,51.26470184,4.753330231
AOC,50.98194504,12.50638866
HDF,53.87870026,14.15229988
REB,53.30638886,12.75222206
CSO,51.85639954,11.42029953
BBH,54.33750153,12.69970036
ZMG,52.07361221,11.62638855
CBU,51.88944244,14.53194427
GTI,54.3833313,13.3255558
PEF,54.15777969,13.77444363
SXF,52.38000107,13.52250004
DRS,51.13280106,13.76720047
ERF,50.97980118,10.95810032
FRA,50.02640152,8.543129921
FMO,52.13460159,7.684830189
HAM,53.63040161,9.988229752
THF,52.473611,13.401667
CGN,50.86589813,7.142739773
DUS,51.28950119,6.7667799
MUC,48.35380173,11.78610039
NUE,49.49869919,11.06690025
LEJ,51.43239975,12.24160004
SCN,49.21459961,7.109509945
STR,48.68989944,9.221960068
TXL,52.55970001,13.2876997
HAJ,52.46110153,9.685079575
BRE,53.04750061,8.786669731
QEF,49.95999908,8.645833015
HHN,49.94869995,7.26388979
MHG,49.47305679,8.514166832
QMZ,49.96749878,8.147221565
SGE,50.70769882,8.082969666
XFW,53.53527832,9.83555603
KEL,54.37944412,10.14527798
LBC,53.80540085,10.71920013
EUM,54.07944489,9.941389084
FMM,47.98880005,10.23950005
AAH,50.82305527,6.186388969
ESS,51.40230179,6.937329769
BFE,51.96472168,8.544444084
ZOJ,51.64720154,7.163330078
MGL,51.23027802,6.504444122
PAD,51.61410141,8.616319656
NRN,51.60240173,6.142169952
DTM,51.5182991,7.612239838
AGB,48.42527771,10.93166733
OBF,48.08140183,11.28310013
RBM,48.90083313,12.51666737
FDH,47.67129898,9.511489868
FRF,52.03805542,11.20555592
SZW,53.42699814,11.78339958
BYU,49.98500061,11.64000034
QOB,49.36111069,10.66944408
HOQ,50.28861237,11.85638905
BBJ,49.94527817,6.565000057
ZQW,49.20940018,7.400559902
FKB,48.77939987,8.080499649
ZQL,47.97333145,8.522221565
LHA,48.36930084,7.827720165
BWE,52.31919861,10.55609989
KSF,51.40833282,9.37749958
BRV,53.50694275,8.572777748
XLW,53.1446991,8.624440193
EME,53.39110947,7.227499962
AGE,53.78277969,7.913888931
WVN,53.50222015,8.052222252
JUI,53.68111038,7.055832863
LGO,53.74250031,7.497777939
ZOW,52.45750046,7.18222189
BMK,53.59638977,6.709167004
NOD,53.63305664,7.190278053
VAC,52.90833282,8.040555954
NRD,53.70694351,7.230000019
BMR,53.72472382,7.373332977
HEI,54.15333176,8.901666641
FLF,54.7733345,9.378889084
HGL,54.18527985,7.915832996
PSH,54.30888748,8.686944008
GWT,54.91320038,8.340470314
OHR,54.68444443,8.52833271
KDL,58.99079895,22.83069992
URE,58.22990036,22.5095005
EPU,58.41899872,24.4727993
TLL,59.41329956,24.83279991
TAY,58.30749893,26.69039917
ENF,68.36260223,23.42429924
QVE,60.80189896,23.64559937
KEV,61.85599899,24.78660011
HEM,60.25460052,25.0428009
HEL,60.31719971,24.96330071
HYV,60.65439987,24.8810997
KTQ,62.16609955,30.07360077
IVL,68.6072998,27.40530014
JOE,62.66289902,29.60750008
JYV,62.3995018,25.67830086
KAU,63.1271019,23.05139923
KEM,65.77870178,24.58209991
KAJ,64.28549957,27.69239998
KHJ,62.46250153,22.39310074
KOK,63.72119904,23.14310074
KAO,65.98760223,29.23940086
KTT,67.7009964,24.84679985
KUO,63.00709915,27.79780006
QLF,61.14419937,25.69350052
LPP,61.04460144,28.14439964
MHQ,60.12220001,19.89819908
MIK,61.68659973,27.20179939
OUL,64.93009949,25.35460091
POR,61.46170044,21.79999924
RVN,66.56479645,25.83040047
SVL,61.94309998,28.94510078
SJY,62.69210052,22.83230019
SOT,67.39499664,26.61910057
TMP,61.41410065,23.60440063
TKU,60.51409912,22.26280022
UTI,60.89640045,26.93840027
VAA,63.05070114,21.7621994
VRK,62.17110062,27.86860085
YLI,64.0605011,24.7159996
 Ru,53.94829,-1.185575
BFS,54.65750122,-6.215829849
ENK,54.39889908,-7.651669979
BHD,54.61809921,-5.872499943
LDY,55.0428009,-7.161109924
BHX,52.45389938,-1.748029947
CVT,52.36970139,-1.479719997
GLO,51.89419937,-2.167220116
ORM,52.30530167,-0.793056011
NQT,52.91999817,-1.079169989
MAN,53.35369873,-2.274950028
DSA,53.48053781,-1.010656357
UPV,51.28620148,-1.782019973
LYE,51.50510025,-1.993430018
DGX,51.40480042,-3.435750008
YEO,51.00939941,-2.638819933
CAL,55.43719864,-5.686389923
